#{"t_start": 1745727359.831438, "env_id": "None"}
r,l,t
-23722.0,718,35.015782
-24182.0,718,38.592008
-23439.0,718,41.569057
-23560.0,718,44.600061
-23326.0,718,47.670409
-24357.0,718,82.814206
-24087.0,718,85.598847
-23203.0,718,88.437301
-23587.0,718,91.185415
-24245.0,718,93.966561
-23005.0,718,129.47726
-24193.0,718,132.523661
-24472.0,718,135.71062
-23701.0,718,139.236383
-23926.0,718,142.617869
-3116.0,718,178.047625
-3387.0,718,181.101655
-3250.0,718,184.101972
-3283.0,718,200.810773
-3316.0,718,203.842841
-3216.0,718,267.488898
-3061.0,718,270.368436
-3358.0,718,273.207356
-3271.0,718,276.058484
-3098.0,718,279.038289
-3254.0,718,311.529454
-3203.0,718,314.370074
-3252.0,718,317.867589
-3126.0,718,321.42965
-3205.0,718,324.379906
-3178.0,718,361.285797
-3291.0,718,364.310121
-3198.0,718,367.279121
-3210.0,718,370.124758
-3462.0,718,372.960084
-3117.0,718,411.96425
-3180.0,718,414.802971
-3224.0,718,417.772105
-3132.0,718,420.608705
-3393.0,718,423.408861
-3100.0,718,460.769845
-3221.0,718,463.652244
-3178.0,718,466.508429
-3252.0,718,469.473365
-3387.0,718,472.374539
-3078.0,718,508.641404
-3253.0,718,511.436372
-3224.0,718,514.714533
-3199.0,718,517.731302
-3345.0,718,520.436664
-3244.0,718,556.436935
-3288.0,718,559.220764
-3346.0,718,562.007947
-3177.0,718,564.941616
-3148.0,718,567.697745
-3204.0,718,599.801467
-3031.0,718,603.50159
-3291.0,718,606.94499
-3285.0,718,609.803926
-3224.0,718,612.657838
-3154.0,718,649.715986
-3216.0,718,652.673829
-3201.0,718,655.589265
-3124.0,718,658.569095
-3342.0,718,661.83328
-3099.0,718,699.695186
-3189.0,718,702.65349
-3111.0,718,705.553335
-3145.0,718,708.491894
-3094.0,718,711.456401
-3162.0,718,748.562126
-3071.0,718,751.668859
-3224.0,718,755.156967
-3157.0,718,758.497154
-3214.0,718,761.310806
-3105.0,718,798.591787
-3194.0,718,801.51512
-3294.0,718,804.396874
-3078.0,718,807.392277
-3063.0,718,810.311851
-3248.0,718,848.989023
-3376.0,718,851.89823
-3269.0,718,854.80512
-3153.0,718,857.706121
-3248.0,718,860.742962
-3241.0,718,893.869107
-3236.0,718,896.8027
-3152.0,718,899.679601
-3229.0,718,902.962581
-3187.0,718,906.512689
-3240.0,718,943.6605
-3175.0,718,946.576507
-3198.0,718,949.445256
-3420.0,718,952.332896
-3280.0,718,955.265197
-3257.0,718,994.10297
-3320.0,718,997.731974
-3135.0,718,1000.898379
-3249.0,718,1003.854014
-3086.0,718,1006.827595
